CC_num,SCA_A_ID,SCA_B_ID,LpGBT_L0_ID,LpGBT_L1_ID,L0_EOM_IEO,L1_EOM_IEO,20_SCA_A_recorded_temp,20_SCA_A_slope,20_SCA_A_offset,20_SCA_A_current,20_SCA_A_date,20_SCA_B_recorded_temp,20_SCA_B_slope,20_SCA_B_offset,20_SCA_B_current,20_SCA_B_date,10_SCA_A_recorded_temp,10_SCA_A_slope,10_SCA_A_offset,10_SCA_A_current,10_SCA_A_date,10_SCA_B_recorded_temp,10_SCA_B_slope,10_SCA_B_offset,10_SCA_B_current,10_SCA_B_date,-30_SCA_A_recorded_temp,-30_SCA_A_slope,-30_SCA_A_offset,-30_SCA_A_current,-30_SCA_A_date,-30_SCA_B_recorded_temp,-30_SCA_B_slope,-30_SCA_B_offset,-30_SCA_B_current,-30_SCA_B_date,in_range
032,0x817b,0x81f4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
033,0xe86a,0xe882,0xcac7882,0x4a8ad3d,None,None,21.3256275272755,0.00024588252252040363,0.001475644415106836,9.724870693855927e-05,2024-06-26 13:24:39.006474,21.3256275272755,0.0002457988680818844,0.0026058349291241956,9.99224727966824e-05,2024-06-26 13:24:39.006474,10.0,0.00024513991510010573,-0.0008899760055742778,9.466331941352106e-05,2024-06-29 13:28:50.967139,10.0,0.0002458345977675939,-6.198580261906894e-05,9.816919355268255e-05,2024-06-29 13:28:50.967139,-30.0,0.00024333726129780343,-0.0024651641557438264,9.363337867236288e-05,2024-06-29 14:24:37.653786,-30.0,0.000245848066279474,0.0006220987620835228,9.896647473311645e-05,2024-06-29 14:24:37.653786,True
034,0xe838,0xe850,0xc42c5425,0x42fd964,None,None,23.130769817654695,0.00024620021829402513,0.00013280319152847442,0.00010060610741764618,2024-06-26 16:12:07.343536,23.130769817654695,0.00024620981095313044,0.00018472779232903136,0.00010124570508213436,2024-06-26 16:12:07.343536,10.0,0.0002460669656667222,-0.0025839032313786925,8.632938726830116e-05,2024-06-29 15:28:49.079753,10.0,0.00024533275268671375,-0.000313791630321969,0.00010098951356107238,2024-06-29 15:28:49.079753,-30.0,0.00023983888037784607,-0.0018273610363469528,8.566444658845053e-05,2024-06-29 15:58:08.688611,-30.0,0.00024394668634462554,-0.0004349803310775835,0.00010144524677335369,2024-06-29 15:58:08.688611,False
035,0xd5e0,0xd5de,0x44a99f4e,0xec2c0158,None,None,27.512779430838478,0.00024545814862266804,0.0005129178501319109,0.0001046967721483584,2024-07-01 10:51:31.370135,23.005264362554357,0.0002458227919167921,0.0003179774530721047,0.00010703779165799369,2024-06-26 16:17:01.282683,10.04615854123751,0.00024560846701851774,-0.0004954078998274936,0.00010376106001670832,2024-07-01 09:51:58.824661,9.843213550011441,0.00024470441096965316,0.0003642502629468969,9.332007646013818e-05,2024-06-28 15:03:08.475935,-30.000762951094835,0.00024373878809977716,-0.000573661284155369,0.00010466188168137222,2024-06-28 15:27:02.300065,-29.346532387273975,0.00024269298100184047,-0.00011111593298673839,9.200967823583218e-05,2024-06-28 15:25:12.061906,True
036,0xd5ac,0xd609,0xc2d938e,0x64ab8579,None,None,22.0,0.00024508561291668553,-0.0002432641817950998,9.197705794529662e-05,2024-06-29 16:30:40.111339,22.0,0.00024546042345137723,0.00044680092530746673,0.00010415090159102707,2024-06-29 16:30:40.111339,10.0,0.00024428034286819774,-0.0010632127416004833,9.331022932824499e-05,2024-07-01 08:22:33.753527,10.054169527733272,0.000246001833842709,8.226251278226071e-05,0.00010516598369345121,2024-07-01 09:16:23.518695,-30.0087739375906,0.0002409555339702495,-0.0007354780763908497,9.318776206641515e-05,2024-07-01 10:15:32.206715,-30.0087739375906,0.00024766756017323774,-0.0002152576008454532,0.00010680054546413039,2024-07-01 10:15:32.206715,True
037,0xf1cc,0xf1ca,0xcca95ac0,0xc2b2d36,13.5,17.0,19.71007858396277,0.0002452200454508716,0.00021947756703294408,9.521207324721168e-05,2024-06-29 09:16:00.185449,19.726100556954293,0.0002448185566145574,0.0004019335057768858,0.00010529603231056235,2024-06-29 09:22:37.500227,10.0,0.00024387383323196737,0.0027300814239087923,9.48986967275981e-05,2024-06-29 09:53:43.600406,10.0,0.00024437161213694585,-0.00016026599292984223,0.00010578726768178738,2024-06-29 09:53:43.600406,-30.0,0.0002447490032438851,-0.0006477920795485703,9.381334881315141e-05,2024-06-29 10:20:09.662074,-30.0,0.0002390096740057436,-0.00021763869642305034,0.00010599611790796587,2024-06-29 10:21:54.196471,False
038,0xe8c4,0xe824,0xecab9bef,0xac2e0abb,8.5,14.5,22.50591287098497,0.0002458971889533219,0.01855248401013393,0.00010918035698349079,2024-06-25 11:31:20.236771,22.50591287098497,0.00024624935286550416,0.017447305631229315,0.00011645976452884037,2024-06-25 11:31:20.236771,10.510795757991914,0.00024617138966065086,-0.004685253754185492,8.694174487268946e-05,2024-07-11 10:09:05.284006,10.510795757991914,0.0002456293966733754,-0.0029173443019578915,9.72504675154636e-05,2024-07-11 10:09:05.284006,-29.51209277485313,0.00024842732722094734,-0.005051619161147269,8.595741979600257e-05,2024-07-11 10:41:51.158800,-29.51209277485313,0.00024548059049008637,-0.0027628139900343074,9.837795259358615e-05,2024-07-11 10:41:51.158800,False
039,0xf1b2,0xf1b3,0x442bbd1e,0xccaf3559,None,None,20.377660791943242,0.00024536636232272576,-4.437809559898476e-05,9.775384767177802e-05,2024-07-01 13:54:37.436622,20.377660791943242,0.0002456986487512569,0.0006239122600059099,9.779413209207234e-05,2024-07-01 13:54:37.436622,10.430685893034259,0.0002464419207524688,-0.0015047071580691074,9.784442337692821e-05,2024-07-01 14:14:47.178897,10.430685893034259,0.00024532841614253206,0.0006143772745173526,9.775355429117571e-05,2024-07-01 14:14:47.178897,-30.128938735027084,0.00025060926108449625,-0.00017147667618155893,9.861718059175239e-05,2024-07-01 14:58:10.738886,-30.03547722590982,0.00024349680526267848,0.001009435747496068,9.782614175807648e-05,2024-07-01 14:56:13.174908,False
040,0xf1f9,0xf1f8,0x242d722e,0x2cabd651,None,None,19.872968642710006,0.00024547138874928546,0.0001893809436418481,9.908537598291234e-05,2024-07-01 14:02:49.117617,19.910353246356905,0.0002444897876929431,0.0008478492773085766,9.22493430691106e-05,2024-07-01 14:00:54.995157,9.920653086137179,0.0002455526373657559,0.00020143178465570344,9.924145206889978e-05,2024-07-01 14:23:53.124220,9.920653086137179,0.00024533727282531154,0.0005001819713048583,9.189672682359667e-05,2024-07-01 14:23:53.124220,-29.939345387960632,0.0002459600825319577,0.00021960264341580604,0.000100896354513736,2024-07-01 15:08:43.223338,-29.939345387960632,0.00024003919747307023,-0.00010904152280682977,8.974073461213262e-05,2024-07-01 15:08:43.223338,False
041,0xf1c1,0xf1c0,0xa42c2f64,0x8c2a3d31,14.5,14.5,21.584649423971925,0.0002455058451798791,-0.001276289746728887,0.0001000456177207836,2024-07-02 14:37:11.902339,15.517662317845428,0.0002452653364368532,0.0006452934846367109,9.210945549498234e-05,2024-07-01 13:11:40.258408,None,None,None,None,None,None,None,None,None,None,-30.227740901808193,0.0002439176115097801,-0.0018667328808448236,9.998708485956088e-05,2024-07-10 16:33:51.139704,-30.227740901808193,0.00023713630230190406,0.0006701903346726379,8.990706600981993e-05,2024-07-10 16:33:51.139704,None
042,0xf17d,0xf194,0xc4ae1ce0,0x64ae54ad,None,None,20.15068284122988,0.0002449522006216733,-0.000718061091990907,9.696396384386452e-05,2024-07-01 12:05:58.830230,20.15068284122988,0.0002456737246392457,0.0002442540400702242,0.00010269556622360346,2024-07-01 12:05:58.830230,10.382619974059665,0.0002449969496588086,-0.00039450982453292927,9.68028168870732e-05,2024-07-01 12:26:17.653913,10.911345082780194,0.0002458019259505189,0.000655544001994024,0.00010320841921131916,2024-07-01 12:10:02.483577,-28.956664377813382,0.00024691535231176153,-0.0013117459678648746,9.627917241662489e-05,2024-07-01 12:53:17.454732,-28.956664377813382,0.0002473438239137808,0.001325525808929362,0.00010451436787153873,2024-07-01 12:53:17.454732,True
043,0xd657,0xd63c,0xec2f6134,0x8cad7657,None,None,22.0,0.0002452455735420564,0.0004082801728885199,8.981787039474167e-05,2024-07-01 08:39:08.699139,22.0,0.00024555154679460584,0.00041310046903469955,0.00010193329382666912,2024-07-01 08:39:08.699139,11.151674677653162,0.0002442120578963134,-0.0005262885337363743,8.939412974768199e-05,2024-07-01 12:17:25.249450,11.151674677653162,0.0002457332438349364,4.2244915610112344e-07,0.000102624480907207,2024-07-01 12:17:25.249450,-29.626916914625774,0.00024004858230586862,-0.0008805708677793733,8.592352926701267e-05,2024-07-01 12:57:11.802073,-29.188982986190585,0.00024645458433797954,-0.0002042464612521111,0.00010333231119975275,2024-07-01 12:59:06.300160,False
044,0xd5c3,0xd63d,0x4c2f3b02,0xa4adfdc7,18.5,8.5,21.662088960097662,0.0002450094777127683,-9.558272016851888e-05,9.892385952530714e-05,2024-07-09 09:26:27.094920,21.662088960097662,0.0002450767430914028,0.0006083459863640006,9.453282346179557e-05,2024-07-09 09:26:27.094920,None,None,None,None,None,None,None,None,None,None,-29.6669718471046,0.00024080745735115966,-0.004513787231543165,9.494923793150886e-05,2024-07-10 13:08:42.123741,-29.6669718471046,0.0002427293205580586,-0.0028858311739601294,8.958600899139509e-05,2024-07-10 13:08:42.123741,None
045,0xd5c5,0xd59e,0xccaaee2d,0x8428636a,17.0,16.5,21.595330739299612,0.0002446249265031425,-0.0005295083673448886,9.496862270070391e-05,2024-07-09 09:47:04.272484,21.565957122148475,0.0002452745975751148,0.0031747903318396498,9.840883268308696e-05,2024-07-10 10:34:03.545133,10.241092545967803,0.0002428424315621594,-0.0003921366053586395,9.516279413490585e-05,2024-07-10 12:45:46.703517,10.241092545967803,0.0002450232107862575,0.000855877657127524,9.569671726998843e-05,2024-07-10 12:45:46.703517,-29.832532234683757,0.00023501789643155596,-0.0018082897951653965,9.297794009097276e-05,2024-07-10 13:13:36.067899,-29.832532234683757,0.00024480604623449684,0.001345147641597766,9.539709815914837e-05,2024-07-10 13:13:36.067899,False
046,0xe8b4,0xe820,0xc42cd0fb,0xc429f419,22.0,8.0,21.736858167391475,0.0002449572808692197,0.008087566678791236,9.826804082640392e-05,2024-07-10 10:49:06.292123,21.736858167391475,0.0002444298173564691,0.00710580672177602,0.00010376789634568782,2024-07-10 10:49:06.292123,10.390630960555427,0.00024523525031807546,-2.517411759328514e-05,9.862126168058664e-05,2024-07-10 12:37:56.150529,10.390630960555427,0.0002468567658151181,0.001190034331887302,0.00010445340381287348,2024-07-10 12:37:56.150529,-29.546807049668118,0.0002463905520787373,-0.0007659942339090509,9.811388339392932e-05,2024-07-10 13:06:35.192490,-29.546807049668118,0.0002525874895141382,0.0007006779913911187,0.00010512569803414473,2024-07-10 13:06:35.192490,False
047,0xf18a,0xf18b,0x242ea50a,0xe42d822d,17.5,7.0,23.750286106660567,0.0002458819153332413,0.0004532454303972089,9.89501412824609e-05,2024-07-15 11:18:20.238419,23.750286106660567,0.00024546271939209126,0.0009753980399150874,0.00010500843838408647,2024-07-15 11:18:20.238419,11.341268024719618,0.00024529250441918327,5.2748316603568046e-05,9.95930932327409e-05,2024-07-15 16:33:18.989943,11.341268024719618,0.0002457309918273474,0.001059882117297406,9.647774792201725e-05,2024-07-15 16:33:18.989943,-29.063477531090257,0.00024380830697463376,-0.0016399325071709825,0.00010091681129537213,2024-07-15 15:57:56.504422,-29.063477531090257,0.0002475636523924219,-0.00039083013659740873,9.628891167153886e-05,2024-07-15 15:57:56.504422,True
048,0xe8cc,0xe867,0x4c2cfd92,0xe4af4163,None,None,20.356298161287867,0.00024533405486878827,-0.0011723326308384907,9.742328273726611e-05,2024-07-16 10:34:18.168347,20.21744106202793,0.0002451765043650417,-0.00024018854116691912,9.424331675794817e-05,2024-07-16 10:37:48.129092,10.019455252918291,0.00024558089501256104,-0.0014313202192157704,9.855073266966475e-05,2024-07-23 13:10:29.185607,10.019455252918291,0.00024549173049180916,0.0004433542347697661,9.44245742234355e-05,2024-07-23 13:10:29.185607,-29.405279621576256,0.0002441568937014045,-0.0007845456627277869,9.948624547786868e-05,2024-07-23 11:46:41.747808,-29.405279621576256,0.00024438309117604835,0.00026798979689146574,9.33064410075622e-05,2024-07-23 11:46:41.747808,True
049,0xf192,0xf193,0x2cab34d5,0x642a1a68,11.5,24.0,23.71557183184558,0.0002456158199544712,4.844785419938491e-05,9.777851142493961e-05,2024-07-15 11:14:54.046412,23.71557183184558,0.00024465959996020987,0.0013002542122755867,0.00010483048437446321,2024-07-15 11:14:54.046412,10.59090562294957,0.0002472847102203954,-0.0009379279310135491,9.830475004290784e-05,2024-07-15 16:36:38.711605,10.59090562294957,0.0002470807562380055,-7.284962427978048e-05,0.00010586480565407073,2024-07-15 16:36:38.711605,-29.4106202792401,0.0002499134181035185,-0.0004653995753213791,9.949896895365206e-05,2024-07-15 16:01:08.773851,-29.4106202792401,0.00025110203030908115,-0.0002924306088228912,0.00010823346229340312,2024-07-15 16:01:08.773851,False
050,0xd60f,0xd60e,0x24aa713c,0x842ea9a6,21.5,17.5,None,None,None,None,None,None,None,None,None,None,10.377279316395821,0.000245617884406813,0.0016875464143494279,9.796854593848877e-05,2024-07-11 10:00:32.348574,10.377279316395821,0.0002453480312360003,0.0025550033616482115,0.0001008212803136762,2024-07-11 10:00:32.348574,-29.132906080720225,0.0002475524412797311,0.0011774829886949112,9.930052103576435e-05,2024-07-11 10:31:14.363145,-29.132906080720225,0.0002448206399113049,0.0012629921836350144,0.0001006428304344052,2024-07-11 10:31:14.363145,None
051,0xd5c2,0xd5aa,0x64ad510e,0xc2b9628,11.5,8.0,20.80491340505074,0.000245335030834965,-0.00018538084086416884,0.00010281010848145415,2024-07-09 10:52:54.391107,20.80491340505074,0.00024576684622190653,0.0011307816135785465,9.996214952276796e-05,2024-07-09 10:52:54.391107,10.745784695201039,0.00024602450166827296,-0.0013926672482129088,0.00010266098193223795,2024-07-11 10:06:58.880392,10.745784695201039,0.00024636732329720335,-0.0004238139380521311,9.935791005736197e-05,2024-07-11 10:06:58.880392,-29.55481803616388,0.0002483605304512644,-0.001507126894720212,0.00010385412076357515,2024-07-11 10:37:42.000608,-29.55481803616388,0.00024964186820649643,-0.0006222187206423313,0.00010023917248760243,2024-07-11 10:37:42.000608,False
052,0xf197,0xf195,0xc429256d,0xc42cf8e0,14.5,9.0,26.08949416342412,0.0002453330941495283,-0.0012933522167482558,9.27909195015047e-05,2025-03-06 07:59:36.132949,26.08949416342412,0.0002459692057794456,-0.0014231764081258924,9.703229296979698e-05,2025-03-06 07:59:36.132949,11.653696498054472,0.0002455855233321298,-0.0013079745695463996,9.273663804492596e-05,2025-03-06 08:20:19.189960,11.653696498054472,0.00024533278251479175,-0.00133630040116256,9.718613414586461e-05,2025-03-06 08:20:19.189960,-28.222323949034866,0.00024598917911388405,-0.0012847097637633809,9.24847831206541e-05,2025-03-06 08:51:35.097924,-28.222323949034866,0.00024348880606435126,-0.0012198973660257906,9.728909539115467e-05,2025-03-06 08:51:35.097924,True
053,0xe836,0xe84e,0x4c2c467c,0x6caa747e,18.0,15.5,20.73014419775693,0.0002457556851869342,-0.00021112162948588864,9.737470580394631e-05,2024-07-09 11:15:09.714081,20.73014419775693,0.0002453432259238137,0.0011166309742579594,9.907707827657615e-05,2024-07-09 11:15:09.714081,10.051499198901354,0.00024347244028066097,0.003577247086877011,9.448398435715827e-05,2024-07-10 16:02:42.696847,10.051499198901354,0.0002434300618760637,0.004447703089540733,9.572561632648657e-05,2024-07-10 16:02:42.696847,-30.350576028076603,0.0002429606643584415,-0.0011765009395341974,9.786599607166571e-05,2024-07-10 16:36:29.982496,-30.350576028076603,0.0002443533281677199,-0.0004252799486627046,9.873385233794437e-05,2024-07-10 16:36:29.982496,True
054,0xf1ff,0xf1fd,0x642f1a37,0xe4aa1d90,19.0,8.5,20.815594720378428,0.0002454269362493813,-0.0014472501030211582,9.780299836247762e-05,2024-07-09 11:34:59.594758,25.50202182040131,0.00024555613388212605,-0.0011850499673331516,9.849131098404441e-05,2025-03-06 15:03:53.876103,10.032806897077897,0.000245079761340326,-1.2770430620256956e-05,0.00010099214600498698,2024-07-10 15:56:37.850575,11.920729381246659,0.00024605010917122457,-0.0012137087261958057,9.872963278936059e-05,2025-03-06 15:19:40.562454,-28.0434119172961,0.0002448590879467971,-0.0015257380331610282,9.828328080894583e-05,2025-03-06 15:49:40.397614,-28.0434119172961,0.00024709455351442234,-0.0011218330819884326,9.950631133167736e-05,2025-03-06 15:49:40.397614,True
055,0xd649,0xd647,0xc42ca416,0xe42de17d,11.0,18.0,25.50202182040131,0.00024602961502330186,-0.0010697875623331132,9.990793116326134e-05,2025-03-06 15:03:53.914715,25.50202182040131,0.0002457781384397574,-0.001155158419374469,9.787993476722146e-05,2025-03-06 15:03:53.914715,11.920729381246659,0.00024636697613692593,-0.0010794075494249822,0.00010003676175364046,2025-03-06 15:19:40.601822,11.920729381246659,0.00024601782872939957,-0.0011408120424690193,9.79131934013396e-05,2025-03-06 15:19:40.601822,-28.0434119172961,0.0002471433906364141,-0.0010672879694533788,0.00010035601704850489,2025-03-06 15:49:40.429799,-28.0434119172961,0.0002466369710559011,-0.0011900129727296371,9.796103963455788e-05,2025-03-06 15:49:40.429799,True
056,0xf226,0xf216,0x4ad7a86,0xca92814,20.0,7.0,20.64469367513543,0.00024449698459362427,-4.82891031877708e-05,9.789438514905692e-05,2024-07-09 13:48:31.623279,22.356374456397347,0.0002451317705511052,0.00017203004031191016,0.0001032989474748411,2024-07-10 11:14:40.942543,10.25978484779126,0.00024434378597081805,0.0002087339011681566,9.954904197005022e-05,2024-07-10 12:43:28.122512,10.25978484779126,0.00024530503030883636,0.0011150771183397468,0.00010483304179449541,2024-07-10 12:43:28.122512,-29.64026855878538,0.00024352473734682973,0.0003653389373433069,0.000100345532938749,2024-07-10 13:10:56.066534,-29.64026855878538,0.0002459905089797669,0.0009820226859698078,0.00010608224700614474,2024-07-10 13:10:56.066534,True
057,0xd5c7,0xd5c6,0xecabd9a2,0x4c2c3b97,22.0,16.0,20.185397116044868,0.00024558451827059156,0.0001810628984101892,9.775357635949378e-05,2024-07-12 10:51:50.542226,20.185397116044868,0.00024632673245325045,-1.2180866661437584e-05,0.00010123073976797812,2024-07-12 10:51:50.542226,10.529488059815364,0.00024579265525907415,0.00020818657624643855,9.840301931746925e-05,2024-07-12 11:19:49.651081,14.72457465476463,0.000246445928872905,0.0002368160931769947,0.00010152942689633558,2024-07-25 12:20:08.845874,-28.92462043183032,0.000246713282048692,2.7604314008666808e-05,9.942054839017329e-05,2024-07-12 11:59:12.733012,-29.445334554055087,0.00024682058865566715,4.390369405210537e-05,0.00010166569672925126,2024-07-25 11:52:40.769486,True
058,0xe87f,0xe865,0xccac7724,0xc28d26f,9.5,13.5,20.575265125505453,0.000245076851216384,0.0011426586883421241,9.589122315466381e-05,2024-07-12 10:45:36.078253,20.575265125505453,0.0002457773457964566,0.001014954041966054,9.956153192778528e-05,2024-07-12 10:45:36.078253,10.606927595941102,0.0002446321363890317,0.0011529180568549124,9.595343416276818e-05,2024-07-12 11:17:47.702661,10.606927595941102,0.0002459109908101552,0.0008589959330483898,9.947989991716725e-05,2024-07-12 11:17:47.702661,-28.0434119172961,0.00024390089664597138,-0.0012254290363771791,9.254989094211499e-05,2025-03-06 15:49:40.455650,-28.743038071259633,0.0002449994665708471,0.001064452140017158,9.877748386415142e-05,2024-07-12 11:57:10.977554,True
059,0xd5fb,0xd612,0xa42a5120,0xccaa7ee8,19.5,5.0,20.15068284122988,0.0002441892682990632,0.0025642615270270452,9.601803094899523e-05,2024-07-12 10:58:51.390109,20.15068284122988,0.00024537908276508265,0.0015039544484278244,9.678175175740772e-05,2024-07-12 10:58:51.390109,10.393301289387352,0.00024366254672730512,0.002882345282506693,9.63911202751322e-05,2024-07-12 11:25:59.504038,10.393301289387352,0.0002454756932838659,0.0014314656938110848,9.703324941555444e-05,2024-07-12 11:25:59.504038,-29.250400549324787,0.00023860472379125342,0.002513891470062646,9.487115169164368e-05,2024-07-12 12:06:13.366850,-29.250400549324787,0.0002450833854021719,0.0011056556655983374,9.722450191957627e-05,2024-07-12 12:06:13.366850,False
060,0xf219,0xf21b,0x4cab01b3,0x4cabc1d6,10.0,20.0,20.631342030975816,0.0002447231240958177,0.0011299097924712953,0.0001006572981227724,2024-07-12 10:43:38.190686,20.631342030975816,0.00024533014222818174,0.001135043801013813,9.718713714947864e-05,2024-07-12 10:43:38.190686,10.777828641184101,0.0002447361454499636,0.0015227135681881165,0.00010106602756417474,2024-07-12 11:15:17.367836,10.777828641184101,0.00024444518145444173,0.001290499189118166,9.71914881316415e-05,2024-07-12 11:15:17.367836,-28.00068665598535,0.00024372466962543704,0.002114817923555501,9.816606532809961e-05,2024-07-12 11:54:12.596007,-28.451972228580146,0.00024381902844510612,-0.0011884888136838856,9.360683828749057e-05,2025-03-05 10:12:32.883354,True
061,0xd5ae,0xd5ad,0xec2a852a,0xc4abf8fe,10.0,8.0,21.619363698786913,0.00024577180575207307,-0.001586649888696945,9.436323848082542e-05,2024-07-25 11:11:00.442097,21.619363698786913,0.0002459851112179842,-0.000287417573603288,9.990352581054035e-05,2024-07-25 11:11:00.442155,9.02609292744335,0.0002452686282014742,-0.0017880756838959955,9.397987792552509e-05,2024-07-25 12:14:17.252011,14.607080186160069,0.00024606024776375476,-0.00010740641705242471,0.00010005764547723661,2024-07-25 12:22:51.683922,-29.48538948653391,0.00024317874528476376,-0.0019205573315773106,9.301173909267109e-05,2024-07-25 11:55:23.101400,-29.445334554055087,0.00024637155810191576,8.746452402064175e-06,0.0001000145983816634,2024-07-25 11:52:40.762270,True
