CC_num,SCA_A_ID,SCA_B_ID,LpGBT_L0_ID,LpGBT_L1_ID,LpGBT_L0_version,LpGBT_L1_version,L0_EOM_IEO,L1_EOM_IEO,20_SCA_A_recorded_temp,20_SCA_A_slope,20_SCA_A_offset,20_SCA_A_current,20_SCA_A_date,20_SCA_B_recorded_temp,20_SCA_B_slope,20_SCA_B_offset,20_SCA_B_current,20_SCA_B_date,10_SCA_A_recorded_temp,10_SCA_A_slope,10_SCA_A_offset,10_SCA_A_current,10_SCA_A_date,10_SCA_B_recorded_temp,10_SCA_B_slope,10_SCA_B_offset,10_SCA_B_current,10_SCA_B_date,-30_SCA_A_recorded_temp,-30_SCA_A_slope,-30_SCA_A_offset,-30_SCA_A_current,-30_SCA_A_date,-30_SCA_B_recorded_temp,-30_SCA_B_slope,-30_SCA_B_offset,-30_SCA_B_current,-30_SCA_B_date,in_range
020,0x6efe,0x6f25,0xbaad588c,0x32ab973d,V2,V2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
021,0x815e,0x181f6,None,None,V1,V1,14,11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
022,0x46a3,0x46ba,0x32add920,0xf2ae9e54,V2,V2,11.5,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
023,0x6f38,0x6f26,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
024,0x46bf,0x46bc,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
025,0x8178,0x81c5,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
026,0x81f8,0x6f61,0xf2ab1cdc,0x3aaf147e,V2,V2,15,12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
027,0x6f36,0x6efd,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
028,0x8160,0x468d,None,None,V1,V1,11.5,5.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
029,0x814d,0x81dc,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
030,0x81ac,0x8179,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
031,0x8193,0x468c,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
032,0x817b,0x81f4,None,None,V1,V1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
033,0xe86a,0xe882,0xcac7882,0x4a8ad3d,V1,V1,None,None,22,0.000246048701566195,-4.57603877850321E-05,9.52463475160531E-05,2024-06-29 12:04:42.305630,22,0.000245870909748198,0.000625363981381688,9.78291411541434E-05,2024-06-29 12:03:16.416585,10,0.000245139915100106,-0.000889976005574278,9.46633194135211E-05,2024-06-29 13:28:50.967139,10,0.000245834597767594,-6.19858026190689E-05,9.81691935526826E-05,2024-06-29 13:28:50.967139,-30,0.000243337261297803,-0.00246516415574383,9.36333786723629E-05,2024-06-29 14:24:37.653786,-30,0.000245848066279474,0.000622098762083523,9.89664747331165E-05,2024-06-29 14:24:37.653786,True
034,0xe838,0xe850,0xc42c5425,0x42fd964,V1,V1,None,None,23.1307698176547,0.000246200218294025,0.000132803191528474,0.000100606107417646,2024-06-26 16:12:07.343536,23.1307698176547,0.00024620981095313,0.000184727792329031,0.000101245705082134,2024-06-26 16:12:07.343536,10,0.000246066965666722,-0.00258390323137869,8.63293872683012E-05,2024-06-29 15:28:49.079753,10,0.000245332752686714,-0.000313791630321969,0.000100989513561072,2024-06-29 15:28:49.079753,-30,0.000239838880377846,-0.00182736103634695,8.56644465884505E-05,2024-06-29 15:58:08.688611,-30,0.000243967307492053,0.000388621744710327,0.000101632047245902,2024-06-29 15:58:08.688611,False
035,0xd5e0,0xd5de,0x44a99f4e,0xec2c0158,V1,V1,None,None,27.5127794308385,0.000245458148622668,0.000512917850131911,0.000104696772148358,2024-07-01 10:51:31.370135,22.265583276112,0.000246460187523137,0.000166901513920847,9.31894527877595E-05,2024-06-28 15:34:03.774535,10.0461585412375,0.000245608467018518,-0.000495407899827494,0.000103761060016708,2024-07-01 09:51:58.824661,9.84321355001144,0.000244704410969653,0.000364250262946897,9.33200764601382E-05,2024-06-28 15:03:08.475935,-30.0007629510948,0.000243738788099777,-0.000573661284155369,0.000104661881681372,2024-06-28 15:27:02.300065,-29.346532387274,0.00024269298100184,-0.000111115932986738,9.20096782358322E-05,2024-06-28 15:25:12.061906,True
036,0xd5ac,0xd609,0xc2d938e,0x64ab8579,V1,V1,None,None,22,0.000245282949866149,-0.000412047905824497,9.20431794419307E-05,2024-06-29 16:36:14.985602,22,0.000245460423451377,0.000446800925307467,0.000104150901591027,2024-06-29 16:30:40.111339,10,0.000244280342868198,-0.00106321274160048,9.3310229328245E-05,2024-07-01 08:22:33.753527,10.0541695277333,0.000246001833842709,8.22625127822607E-05,0.000105165983693451,2024-07-01 09:16:23.518695,-30.0087739375906,0.00024095553397025,-0.00073547807639085,9.31877620664152E-05,2024-07-01 10:15:32.206715,-29.8004882887007,0.000247157701148707,0.00272513138903058,0.000107034303562114,2024-07-01 10:17:23.147144,False
037,0xf1cc,0xf1ca,0xcca95ac0,0xc2b2d36,V1,V1,13.5,17,19.7100785839628,0.000245220045450872,0.000219477567032944,9.52120732472117E-05,2024-06-29 09:16:00.185449,19.7261005569543,0.000244818556614557,0.000401933505776886,0.000105296032310562,2024-06-29 09:22:37.500227,11.8299382009613,0.000245322024146039,0.00065245750178955,9.48872261247534E-05,2025-06-02 09:59:42.936466,10,0.000244371612136946,-0.000160265992929842,0.000105787267681787,2024-06-29 09:53:43.600406,-28.1715877012284,0.000244360384232621,0.000519843195296521,9.44563380860567E-05,2025-06-02 11:28:38.896816,-28.0514229037919,0.000242471817916808,0.0017697180399866,0.000105679821977629,2025-06-02 10:42:45.625789,True
038,0xe8c4,0xe824,0xecab9bef,0xac2e0abb,V1,V1,8.5,14.5,27.0401312275883,0.000246148885300176,-0.00093749189930703,8.96873397212319E-05,2025-05-30 15:36:56.455306,27.0401312275883,0.00024560520445672,0.000319110349922935,9.88809900249987E-05,2025-05-30 15:36:56.455306,11.8299382009613,0.000246133454293111,-0.00113126795158297,8.92856172802824E-05,2025-06-02 09:59:42.775197,11.8299382009613,0.000245643903438626,0.000230073019137744,9.88983723621198E-05,2025-06-02 09:59:42.775197,-28.0514229037919,0.000246822467267469,-0.00101464057791079,8.91522361539883E-05,2025-06-02 10:42:45.453540,-29.5120927748531,0.000245480590490086,-0.00276281399003431,9.83779525935862E-05,2024-07-11 10:41:51.158800,False
039,0xf1b2,0xf1b3,0x442bbd1e,0xccaf3559,V1,V1,None,None,20.3776607919432,0.000245366362322726,-4.43780955989848E-05,9.7753847671778E-05,2024-07-01 13:54:37.436622,20.3776607919432,0.000245698648751257,0.00062391226000591,9.77941320920723E-05,2024-07-01 13:54:37.436622,10.4306858930343,0.000246441920752469,-0.00150470715806911,9.78444233769282E-05,2024-07-01 14:14:47.178897,10.4306858930343,0.000245328416142532,0.000614377274517353,9.77535542911757E-05,2024-07-01 14:14:47.178897,-30.1289387350271,0.000250609261084496,-0.000171476676181559,9.86171805917524E-05,2024-07-01 14:58:10.738886,-30.0354772259098,0.000243496805262678,0.00100943574749607,9.78261417580765E-05,2024-07-01 14:56:13.174908,False
040,0xf1f9,0xf1f8,0x242d722e,0x2cabd651,V1,V1,None,None,19.87296864271,0.000245471388749285,0.000189380943641848,9.90853759829123E-05,2024-07-01 14:02:49.117617,19.9103532463569,0.000244489787692943,0.000847849277308577,9.22493430691106E-05,2024-07-01 14:00:54.995157,9.92065308613718,0.000245552637365756,0.000201431784655703,0.0000992414520688998,2024-07-01 14:23:53.124220,9.92065308613718,0.000245337272825312,0.000500181971304858,9.18967268235967E-05,2024-07-01 14:23:53.124220,-29.9393453879606,0.000245960082531958,0.000219602643415806,0.000100896354513736,2024-07-01 15:08:43.223338,-29.9393453879606,0.00024003919747307,-0.00010904152280683,8.97407346121326E-05,2024-07-01 15:08:43.223338,False
041,0xf1c1,0xf1c0,0xa42c2f64,0x8c2a3d31,V1,V1,14.5,14.5,23.0132753490501,0.000245220070141306,-0.000345960541263901,9.93932844803023E-05,2025-06-02 09:10:03.359201,15.5176623178454,0.000245265336436853,0.000645293484636711,9.21094554949823E-05,2024-07-01 13:11:40.258408,11.8726634622721,0.000245084202893741,0.000445816931718579,9.95830671684764E-05,2025-06-09 07:54:38.835116,11.8299382009613,0.000244271493144194,0.000430664444204032,9.01207172375726E-05,2025-06-02 09:59:42.887762,-28.0514229037919,0.000244872001400289,-0.000408980923520208,9.98947855880418E-05,2025-06-02 10:42:45.573164,-28.0514229037919,0.000241461690461886,0.00054397733825029,8.95364976481957E-05,2025-06-02 10:42:45.573164,False
042,0xf17d,0xf194,0xc4ae1ce0,0x64ae54ad,V1,V1,None,None,20.1506828412299,0.000244952200621673,-0.000718061091990907,9.69639638438645E-05,2024-07-01 12:05:58.830230,20.1506828412299,0.000245673724639246,0.000244254040070224,0.000102695566223603,2024-07-01 12:05:58.830230,10.3826199740597,0.000244996949658809,-0.000394509824532929,9.68028168870732E-05,2024-07-01 12:26:17.653913,10.9113450827802,0.000245801925950519,0.000655544001994024,0.000103208419211319,2024-07-01 12:10:02.483577,-28.9566643778134,0.000246915352311762,-0.00131174596786487,9.62791724166249E-05,2024-07-01 12:53:17.454732,-28.9566643778134,0.000247343823913781,0.00132552580892936,0.000104514367871539,2024-07-01 12:53:17.454732,False
043,0xd657,0xd63c,0xec2f6134,0x8cad7657,V1,V1,None,None,22,0.000245245573542056,0.00040828017288852,8.98178703947417E-05,2024-07-01 08:39:08.699139,22,0.000245551546794606,0.0004131004690347,0.000101933293826669,2024-07-01 08:39:08.699139,11.1516746776532,0.000244212057896313,-0.000526288533736374,8.9394129747682E-05,2024-07-01 12:17:25.249450,11.1516746776532,0.000245733243834936,4.22449156101123E-07,0.000102624480907207,2024-07-01 12:17:25.249450,-29.6269169146258,0.000240171495704877,-0.00223559764788212,8.69011953581876E-05,2024-07-01 12:57:11.802073,-29.1889829861906,0.00024645458433798,-0.000204246461252111,0.000103332311199753,2024-07-01 12:59:06.300160,False
044,0xd5c3,0xd63d,0x4c2f3b02,0xa4adfdc7,V1,V1,18.5,8.5,21.6620889600977,0.000245009477712768,-9.55827201685189E-05,9.89238595253071E-05,2024-07-09 09:26:27.094920,21.6620889600977,0.000245076743091403,0.000608345986364001,9.45328234617956E-05,2024-07-09 09:26:27.094920,11.8966964217594,0.000244777771882372,-0.00196745769701007,9.68652704841389E-05,2025-05-23 11:08:05.210616,11.8966964217594,0.00024510528870355,-0.00124443333601632,9.18723166688629E-05,2025-05-23 11:08:05.210616,-27.9819943541619,0.000243303544054476,-0.00182309964842398,9.71230127217171E-05,2025-05-23 11:44:19.027405,-27.9819943541619,0.000244333264487644,-0.00127012787729697,9.14279947464398E-05,2025-05-23 11:44:19.027405,False
045,0xd5c5,0xd59e,0xccaaee2d,0x8428636a,V1,V1,17,16.5,21.5953307392996,0.000244624926503143,-0.000529508367344889,9.49686227007039E-05,2024-07-09 09:47:04.272484,21.5953307392996,0.000245179721433914,0.000541324720456093,9.50848554341571E-05,2024-07-09 09:47:04.272484,10.2410925459678,0.000242842431562159,-0.00039213660535864,9.51627941349059E-05,2024-07-10 12:45:46.703517,10.2410925459678,0.000245023210786258,0.000855877657127524,9.56967172699884E-05,2024-07-10 12:45:46.703517,-27.9819943541619,0.000240692291172145,-0.00170934764584996,9.28379076797564E-05,2025-05-23 11:44:19.054059,-29.8325322346838,0.000244806046234497,0.00134514764159777,9.53970981591484E-05,2024-07-10 13:13:36.067899,False
046,0xe8b4,0xe820,0xc42cd0fb,0xc429f419,V1,V1,22,8,25.9399557488365,0.000245210970857383,-3.13311605164013E-05,9.76478839397472E-05,2025-05-23 10:37:43.496810,27.0534828717479,0.000244826790080397,-0.00111492463084351,0.000100199467239902,2025-06-02 09:37:32.100917,10.3906309605554,0.000245235250318075,-2.51741175932851E-05,9.86212616805866E-05,2024-07-10 12:37:56.150529,11.8299382009613,0.000245806154993991,-0.00108359694946703,0.000100461215059032,2025-06-02 09:59:42.713291,-27.9819943541619,0.000245591123441848,-0.000258525037397039,9.75788014201887E-05,2025-05-23 11:44:19.074401,-28.0514229037919,0.000247758793169074,-0.000846534045148339,0.000101142710267361,2025-06-02 10:42:45.388381,False
047,0xf18a,0xf18b,0x242ea50a,0xe42d822d,V1,V1,17.5,7,23.7502861066606,0.000245881915333241,0.000453245430397209,9.89501412824609E-05,2024-07-15 11:18:20.238419,23.7502861066606,0.000245462719392091,0.000975398039915087,0.000105008438384086,2024-07-15 11:18:20.238419,11.3412680247196,0.000245292504419183,5.2748316603568E-05,9.95930932327409E-05,2024-07-15 16:33:18.989943,11.3412680247196,0.000245730991827347,0.00105988211729741,9.64777479220173E-05,2024-07-15 16:33:18.989943,-29.0634775310903,0.000243808306974634,-0.00163993250717098,0.000100916811295372,2024-07-15 15:57:56.504422,-29.0634775310903,0.000247563652392422,-0.000390830136597409,9.62889116715389E-05,2024-07-15 15:57:56.504422,False
048,0xe8cc,0xe867,0x9aacbd48,0x5aa92dde,V2,V2,None,None,20.3562981612879,0.000245334054868788,-0.00117233263083849,9.74232827372661E-05,2024-07-16 10:34:18.168347,20.2174410620279,0.000245176504365042,-0.000240188541166919,9.42433167579482E-05,2024-07-16 10:37:48.129092,10.0194552529183,0.000245580895012561,-0.00143132021921577,9.85507326696648E-05,2024-07-23 13:10:29.185607,10.0194552529183,0.000245491730491809,0.000443354234769766,9.44245742234355E-05,2024-07-23 13:10:29.185607,-29.4052796215763,0.000244156893701405,-0.000784545662727787,9.94862454778687E-05,2024-07-23 11:46:41.747808,-29.4052796215763,0.000244383091176048,0.000267989796891466,9.33064410075622E-05,2024-07-23 11:46:41.747808,True
049,0xf192,0xf193,0x2cab34d5,0x642a1a68,None,None,11.5,24.0,23.7155718318456,0.000245615819954471,4.84478541993849e-05,9.77785114249396e-05,2024-07-15 11:14:54.046412,24.4419012741283,0.000245711441641386,-0.000659662153654261,0.000103529302992786,2025-06-26 10:14:05.848953,10.5909056229496,0.000247284710220395,-0.000937927931013549,9.83047500429078e-05,2024-07-15 16:36:38.711605,11.9153887235828,0.000246256500792625,-0.000792284152374867,0.000103769429097215,2025-06-26 10:39:02.364435,-29.4106202792401,0.0002499134181035185,-0.0004653995753213791,9.949896895365206e-05,2024-07-15 16:01:08.773851,-27.8885328450446,0.000247811368315598,-0.000573474203357405,0.000104863202187498,2025-06-26 11:24:50.995844,None
050,0xd60f,0xd60e,0x24aa713c,0x842ea9a6,V1,V1,21.5,17.5,21.5632867933166,0.000245419632198789,-0.00158630231121099,9.37378546227016E-05,2025-06-10 08:11:24.009378,22.6047150377661,0.000245628151106459,0.000415826384135398,9.86904230155227E-05,2025-06-10 08:22:45.012693,11.8566414892805,0.00024551829570758,-0.00176925739305589,9.35290171830625E-05,2025-06-10 08:42:48.634968,11.8566414892805,0.000245565663378866,0.00033211880140227,9.86344245259675E-05,2025-06-10 08:42:48.634968,-27.9472800793469,0.000245912158410336,-0.00183721847354856,9.34841283388749E-05,2025-06-10 09:41:53.415616,-27.9472800793469,0.000245336318179612,0.000338157802261596,9.86679944736333E-05,2025-06-10 09:41:53.415616,True
051,0xd5c2,0xd5aa,0x64ad510e,0xc2b9628,V1,V1,11.5,8,20.8049134050507,0.000245335030834965,-0.000185380840864169,0.000102810108481454,2024-07-09 10:52:54.391107,20.8049134050507,0.000245766846221907,0.00113078161357855,9.9962149522768E-05,2024-07-09 10:52:54.391107,10.745784695201,0.000246024501668273,-0.00139266724821291,0.000102660981932238,2024-07-11 10:06:58.880392,10.745784695201,0.000246367323297203,-0.000423813938052131,9.9357910057362E-05,2024-07-11 10:06:58.880392,-29.5548180361639,0.000248360530451264,-0.00150712689472021,0.000103854120763575,2024-07-11 10:37:42.000608,-29.5548180361639,0.000249641868206496,-0.000622218720642331,0.000100239172487602,2024-07-11 10:37:42.000608,False
052,0xf197,0xf195,0xc429256d,0xc42cf8e0,V1,V1,14.5,9,26.0894941634241,0.000245333094149528,-0.00129335221674826,9.27909195015047E-05,2025-03-06 07:59:36.132949,26.0894941634241,0.000245969205779446,-0.00142317640812589,9.7032292969797E-05,2025-03-06 07:59:36.132949,11.6536964980545,0.00024558552333213,-0.0013079745695464,9.2736638044926E-05,2025-03-06 08:20:19.189960,11.6536964980545,0.000245332782514792,-0.00133630040116256,9.71861341458646E-05,2025-03-06 08:20:19.189960,-28.2223239490349,0.000245989179113884,-0.00128470976376338,9.24847831206541E-05,2025-03-06 08:51:35.097924,-28.2223239490349,0.000243488806064351,-0.00121989736602579,9.72890953911547E-05,2025-03-06 08:51:35.097924,True
053,0xe836,0xe84e,0x4c2c467c,0x6caa747e,V1,V1,18,15.5,20.7301441977569,0.000245755685186934,-0.000211121629485889,9.73747058039463E-05,2024-07-09 11:15:09.714081,20.7301441977569,0.000245343225923814,0.00111663097425796,9.90770782765762E-05,2024-07-09 11:15:09.714081,10.0514991989014,0.000243472440280661,0.00357724708687701,9.44839843571583E-05,2024-07-10 16:02:42.696847,10.0514991989014,0.000243430061876064,0.00444770308954073,9.57256163264866E-05,2024-07-10 16:02:42.696847,-30.3505760280766,0.000242960664358442,-0.0011765009395342,9.78659960716657E-05,2024-07-10 16:36:29.982496,-30.3505760280766,0.00024435332816772,-0.000425279948662705,9.87338523379444E-05,2024-07-10 16:36:29.982496,False
054,0xf1ff,0xf1fd,0x642f1a37,0xe4aa1d90,V1,V1,19,8.5,20.8155947203784,0.000245426936249381,-0.00144725010302116,9.78029983624776E-05,2024-07-09 11:34:59.594758,25.5020218204013,0.000245556133882126,-0.00118504996733315,9.84913109840444E-05,2025-03-06 15:03:53.876103,11.9207293812467,0.000245351215044417,-0.0016046396702295,9.77621862930621E-05,2025-03-06 15:19:40.562454,11.9207293812467,0.000246050109171225,-0.00121370872619581,9.87296327893606E-05,2025-03-06 15:19:40.562454,-28.0434119172961,0.000244859087946797,-0.00152573803316103,9.82832808089458E-05,2025-03-06 15:49:40.397614,-28.0434119172961,0.000247094553514422,-0.00112183308198843,9.95063113316774E-05,2025-03-06 15:49:40.397614,True
055,0xd649,0xd647,0xc42ca416,0xe42de17d,V1,V1,11,18,25.5020218204013,0.000246029615023302,-0.00106978756233311,9.99079311632613E-05,2025-03-06 15:03:53.914715,25.5020218204013,0.000245778138439757,-0.00115515841937447,9.78799347672215E-05,2025-03-06 15:03:53.914715,11.9207293812467,0.000246366976136926,-0.00107940754942498,0.00010003676175364,2025-03-06 15:19:40.601822,11.9207293812467,0.0002460178287294,-0.00114081204246902,9.79131934013396E-05,2025-03-06 15:19:40.601822,-28.0434119172961,0.000247143390636414,-0.00106728796945338,0.000100356017048505,2025-03-06 15:49:40.429799,-28.0434119172961,0.000246636971055901,-0.00119001297272964,9.79610396345579E-05,2025-03-06 15:49:40.429799,True
056,0xf226,0xf216,0x4ad7a86,0xca92814,V1,V1,20,7,20.6446936751354,0.000244496984593624,-4.82891031877708E-05,9.78943851490569E-05,2024-07-09 13:48:31.623279,25.9399557488365,0.000245328140686249,-0.000301267444841546,0.000101144327649035,2025-05-23 10:37:43.382395,10.2597848477913,0.000244343785970818,0.000208733901168157,9.95490419700502E-05,2024-07-10 12:43:28.122512,11.8966964217594,0.00024536575734805,-0.000485761017204267,0.000101117906530892,2025-05-23 11:08:05.133387,-29.6402685587854,0.00024352473734683,0.000365338937343307,0.000100345532938749,2024-07-10 13:10:56.066534,-27.9819943541619,0.000245711995209912,-0.000727939374941367,0.000101540279094107,2025-05-23 11:44:18.942808,True
057,0xd5c7,0xd5c6,0xecabd9a2,0x4c2c3b97,V1,V1,22,16,20.1853971160449,0.000245584518270592,0.000181062898410189,9.77535763594938E-05,2024-07-12 10:51:50.542226,25.2376592660411,0.000246316886743777,-0.0011065152785848,0.000100046864703332,2025-05-23 10:47:11.803313,10.5294880598154,0.000245792655259074,0.000208186576246439,9.84030193174693E-05,2024-07-12 11:19:49.651081,11.8966964217594,0.000246469105820465,-0.00113713000966015,0.000100095989764313,2025-05-23 11:08:05.196238,-28.9246204318303,0.000246713282048692,2.76043140086668E-05,9.94205483901733E-05,2024-07-12 11:59:12.733012,-27.9819943541619,0.000246660499762287,-0.00120784042906391,0.000100228146024554,2025-05-23 11:44:19.008206,True
058,0xe87f,0xe865,0xccac7724,0xc28d26f,V1,V1,9.5,13.5,23.8517586022736,0.000245515182311105,-0.00123576124519165,0.0000926402156067997,2025-03-06 14:56:30.363923,20.5752651255055,0.000245777345796457,0.00101495404196605,9.95615319277853E-05,2024-07-12 10:45:36.078253,11.9207293812467,0.000245326812211498,-0.00122332095197875,9.27047702230467E-05,2025-03-06 15:19:40.628952,10.6069275959411,0.000245910990810155,0.00085899593304839,9.94798999171673E-05,2024-07-12 11:17:47.702661,-28.0434119172961,0.000243900896645971,-0.00122542903637718,9.2549890942115E-05,2025-03-06 15:49:40.455650,-28.7430380712596,0.000244999466570847,0.00106445214001716,9.87774838641514E-05,2024-07-12 11:57:10.977554,True
059,0xd5fb,0xd612,0x9aaf50c0,0xbaab6413,V2,V2,19.5,5,28.3539330128939,0.000245126318530286,-0.0016627954331126,9.0955281779731E-05,2025-06-17 11:53:35.966860,28.3539330128939,0.000245685325684889,0.000390152524625376,9.37690839271173E-05,2025-06-17 11:53:35.966860,10.3933012893874,0.000243662546727305,0.00288234528250669,9.63911202751322E-05,2024-07-12 11:25:59.504038,10.3933012893874,0.000245475693283866,0.00143146569381108,9.70332494155544E-05,2024-07-12 11:25:59.504038,-27.9125658045319,0.000242529883341285,-0.000329336746010378,9.18592214584878E-05,2025-06-18 15:34:41.094949,-29.2504005493248,0.000245083385402172,0.00110565566559834,9.72245019195763E-05,2024-07-12 12:06:13.366850,False
060,0xf219,0xf21b,0x4cab01b3,0x4cabc1d6,V1,V1,10,20,26.7036697947662,0.000245384438367815,-0.00116597773253457,9.73721914405314E-05,2025-03-05 09:25:32.892942,26.7036697947662,0.000246448501643984,-0.0011667641612047,9.40622521252378E-05,2025-03-05 09:25:32.892942,11.600289921416,0.0002453942353692,-0.00115446018789067,9.73790576108907E-05,2025-03-05 09:40:54.997062,11.600289921416,0.000245765799489436,-0.00121541829903243,9.39047131080035E-05,2025-03-05 09:40:54.997062,-28.4519722285801,0.000245087252847127,-0.00123612807390888,9.72276046888387E-05,2025-03-05 10:12:32.883354,-28.4519722285801,0.000243819028445106,-0.00118848881368389,9.36068382874906E-05,2025-03-05 10:12:32.883354,True
061,0xd5ae,0xd5ad,0xec2a852a,0xc4abf8fe,V1,V1,10,8,21.6193636987869,0.000245771805752073,-0.00158664988869695,9.43632384808254E-05,2024-07-25 11:11:00.442097,21.6193636987869,0.000245985111217984,-0.000287417573603288,9.99035258105404E-05,2024-07-25 11:11:00.442155,9.02609292744335,0.000245268628201474,-0.001788075683896,9.39798779255251E-05,2024-07-25 12:14:17.252011,14.6070801861601,0.000246060247763755,-0.000107406417052425,0.000100057645477237,2024-07-25 12:22:51.683922,-29.4853894865339,0.000243178745284764,-0.00192055733157731,9.30117390926711E-05,2024-07-25 11:55:23.101400,-29.4453345540551,0.000246371558101916,8.74645240206418E-06,0.000100014598381663,2024-07-25 11:52:40.762270,True
